day;start;end;description;length;activity;
01/03/2024;17:00;18:00;;01:00;Corsi privati;
04/03/2024;08:25;09:00;;00:35;Un modo si trova;
04/03/2024;09:00;11:16;Music.py;02:15;Anonima Artisti;
04/03/2024;12:36;17:09;Da1me;04:33;Anonima Artisti;
04/03/2024;17:09;17:26;;00:17;Condominio;
05/03/2024;06:55;07:29;;00:33;Un modo si trova;
05/03/2024;08:56;11:14;;02:01;Anonima Artisti;
05/03/2024;13:25;16:16;;02:45;Anonima Artisti;
05/03/2024;19:28;22:54;;03:25;Anonima Artisti;
06/03/2024;07:10;12:01;;04:20;Anonima Artisti;
06/03/2024;13:30;15:54;;02:16;Anonima Artisti;
06/03/2024;18:10;19:10;;00:59;Anonima Artisti;
07/03/2024;09:00;12:00;QR;02:40;Anonima Artisti;
07/03/2024;12:55;17:00;QR;04:04;Anonima Artisti;
07/03/2024;18:46;21:41;;02:54;Anonima Artisti;
08/03/2024;08:14;11:01;;02:18;Anonima Artisti;
08/03/2024;16:29;17:35;;01:05;Corsi privati;
09/03/2024;09:46;11:18;CU24;01:32;Condominio;
11/03/2024;09:03;11:57;;02:45;Anonima Artisti;
11/03/2024;13:47;16:23;;02:14;Anonima Artisti;
12/03/2024;09:18;11:50;;02:32;Anonima Artisti;
12/03/2024;12:51;15:02;;02:10;Anonima Artisti;
13/03/2024;09:16;12:03;;02:47;Anonima Artisti;
13/03/2024;13:37;15:36;;01:59;Anonima Artisti;
13/03/2024;19:10;20:40;;00:03;Anonima Artisti;
14/03/2024;08:02;08:42;;00:34;Un modo si trova;
14/03/2024;08:44;11:21;;02:36;Anonima Artisti;
14/03/2024;13:03;15:24;;02:20;Anonima Artisti;
15/03/2024;08:36;11:54;;03:18;Anonima Artisti;
15/03/2024;12:56;16:48;;03:39;Anonima Artisti;
15/03/2024;18:02;18:58;;00:56;Corsi privati;
18/03/2024;12:44;18:43;;05:58;Anonima Artisti;
19/03/2024;08:32;11:19;;02:42;Anonima Artisti;
19/03/2024;12:55;15:20;;02:24;Anonima Artisti;
20/03/2024;07:53;12:14;;04:21;Anonima Artisti;
20/03/2024;13:24;15:28;;02:04;Anonima Artisti;
